nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  2/18/2026 3:16:40 PM ::1 GET /
 HTTP  2/18/2026 3:16:40 PM ::1 Returned 200 in 27 ms
 HTTP  2/18/2026 3:17:10 PM 172.29.25.158 GET /
 HTTP  2/18/2026 3:17:10 PM 172.29.25.158 Returned 200 in 4 ms
 HTTP  2/18/2026 3:17:10 PM 172.29.25.158 GET /assets/index-BVQfbkFZ.js
 HTTP  2/18/2026 3:17:10 PM 172.29.25.158 Returned 200 in 9 ms
 HTTP  2/18/2026 3:17:10 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 3:17:10 PM 172.29.25.158 Returned 200 in 3 ms
 HTTP  2/18/2026 4:12:18 PM 172.29.25.158 GET /login
 HTTP  2/18/2026 4:12:18 PM 172.29.25.158 Returned 200 in 2 ms
 HTTP  2/18/2026 4:12:18 PM 172.29.25.158 GET /assets/index-BVQfbkFZ.js
 HTTP  2/18/2026 4:12:18 PM 172.29.25.158 Returned 304 in 4 ms
 HTTP  2/18/2026 4:12:18 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 4:12:18 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 4:20:57 PM 172.29.25.158 GET /login
 HTTP  2/18/2026 4:20:57 PM 172.29.25.158 Returned 200 in 4 ms
 HTTP  2/18/2026 4:20:57 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 4:20:57 PM 172.29.25.158 Returned 200 in 11 ms
 HTTP  2/18/2026 4:20:57 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 4:20:57 PM 172.29.25.158 Returned 304 in 4 ms
 HTTP  2/18/2026 4:23:08 PM 172.29.25.158 GET /login
 HTTP  2/18/2026 4:23:08 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 4:23:08 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 4:23:08 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 4:23:08 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 4:23:08 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 4:23:18 PM 172.29.25.158 GET /login
 HTTP  2/18/2026 4:23:18 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 4:23:18 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 4:23:18 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 4:23:39 PM 172.29.25.158 GET /login
 HTTP  2/18/2026 4:23:39 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 4:23:39 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 4:23:39 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 4:25:11 PM 172.29.25.158 GET /login
 HTTP  2/18/2026 4:25:11 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 4:25:11 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 4:25:11 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 4:39:22 PM 172.29.25.158 GET /login
 HTTP  2/18/2026 4:39:22 PM 172.29.25.158 Returned 304 in 3 ms
 HTTP  2/18/2026 4:39:22 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 4:39:22 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 4:39:22 PM 172.29.25.158 GET /vite.svg
